iter	Logloss
0	0.6822070588
1	0.6725792238
2	0.6626777754
3	0.6533529643
4	0.6442483473
5	0.6345238324
6	0.6261132898
7	0.6173691038
8	0.6089886683
9	0.6012455122
10	0.5935402006
11	0.5861596142
12	0.5795438938
13	0.5722734245
14	0.56510979
15	0.5581361527
16	0.5516858981
17	0.5448162516
18	0.5391214932
19	0.5328211745
20	0.5269553659
21	0.5211085509
22	0.5159235137
23	0.5111008154
24	0.5066915715
25	0.5014746901
26	0.4968177453
27	0.4921373218
28	0.487721296
29	0.483586183
30	0.4792331733
31	0.4755759335
32	0.4717615517
33	0.4683635167
34	0.4644413203
35	0.4609236442
36	0.4577642941
37	0.4541228719
38	0.4511062383
39	0.4476150518
40	0.4446600427
41	0.4419457339
42	0.43962826
43	0.4369005757
44	0.4339826266
45	0.4308934282
46	0.4279799559
47	0.4253460405
48	0.422992687
49	0.4206422592
50	0.4180970538
51	0.4159015716
52	0.4137649764
53	0.4117004453
54	0.4099871208
55	0.4079659791
56	0.4058688189
57	0.4042161299
58	0.4024415986
59	0.4004495423
60	0.3987759105
61	0.3968131414
62	0.3951326599
63	0.3933308373
64	0.3918145914
65	0.3902838283
66	0.3887633501
67	0.3872362381
68	0.3857778238
69	0.3843761685
70	0.3828644581
71	0.3814565319
72	0.3803288948
73	0.3792387812
74	0.3778077957
75	0.3768366562
76	0.3756353383
77	0.3744985602
78	0.3734036416
79	0.3722405409
80	0.3711381265
81	0.3703471488
82	0.369306974
83	0.3682954917
84	0.3673572658
85	0.3664402764
86	0.365507561
87	0.3646363773
88	0.3638101334
89	0.3629968847
90	0.362243935
91	0.3614014278
92	0.3606160569
93	0.3597790976
94	0.3591174398
95	0.3584397963
96	0.3577042048
97	0.3570643151
98	0.3564105669
99	0.3555797056
100	0.3550488104
101	0.3543438878
102	0.3535282207
103	0.3529341771
104	0.352230139
105	0.3516640558
106	0.3510053933
107	0.3504649477
108	0.3500159561
109	0.3493830657
110	0.3489854244
111	0.3483875512
112	0.3479481881
113	0.3473801946
114	0.3468185482
115	0.3463058211
116	0.3459087863
117	0.3454688111
118	0.3450622486
119	0.3446602473
120	0.3441018334
121	0.3436673857
122	0.3431032162
123	0.34256888
124	0.3422540009
125	0.3417751179
126	0.3415381104
127	0.3411040575
128	0.3406617027
129	0.3401884052
130	0.3397585167
131	0.3392632863
132	0.3389813401
133	0.3385078561
134	0.3381630096
135	0.3378735358
136	0.3375528971
137	0.3372883621
138	0.3369138555
139	0.3365960064
140	0.3363007001
141	0.3359636371
142	0.3356005057
143	0.3351920897
144	0.3349217955
145	0.3347076845
146	0.3343083321
147	0.3339934472
148	0.3337694683
149	0.333480824
150	0.3331350748
151	0.3328214724
152	0.3324868241
153	0.3322025075
154	0.3319204601
155	0.3316607868
156	0.3313529605
157	0.3309929414
158	0.3307427767
159	0.3304528068
160	0.330139417
161	0.3298110012
162	0.3295647582
163	0.3293883949
164	0.3291309668
165	0.3288977558
166	0.3286846171
167	0.3285226814
168	0.3282038464
169	0.3280622759
170	0.3279037167
171	0.327703175
172	0.3275075372
173	0.3272856584
174	0.327017956
175	0.3267824656
176	0.3266177763
177	0.3264237771
178	0.3262396819
179	0.3259514163
180	0.3257820597
181	0.3255400541
182	0.3253905533
183	0.3251426598
184	0.3249620196
185	0.3247787491
186	0.3246079385
187	0.3244283268
188	0.3242328058
189	0.3240858155
190	0.3238336814
191	0.3236193012
192	0.3234497733
193	0.3232534323
194	0.3230950776
195	0.3228918538
196	0.3227311765
197	0.3224977411
198	0.3222898817
199	0.3220837584
200	0.3219059925
201	0.3217896243
202	0.3216568408
203	0.3214726609
204	0.3213446544
205	0.3212353369
206	0.3210321385
207	0.3209175378
208	0.3207599081
209	0.3205585491
210	0.3204189437
211	0.3203103543
212	0.320156504
213	0.320008587
214	0.31980488
215	0.3197093888
216	0.3195537162
217	0.3194569742
218	0.3192900495
219	0.3191316675
220	0.3190169587
221	0.3188132757
222	0.3187337967
223	0.3186282866
224	0.318495569
225	0.3183147912
226	0.3182001177
227	0.3180327967
228	0.3179008445
229	0.3177314736
230	0.3176196369
231	0.3174347292
232	0.3172589228
233	0.3170807455
234	0.3169890477
235	0.3168830087
236	0.3166917615
237	0.3165220181
238	0.3164371995
239	0.3163326652
240	0.3162678767
241	0.3161499278
242	0.3160547325
243	0.3159044478
244	0.3158104519
245	0.3157141304
246	0.315572473
247	0.3154871196
248	0.3153918959
249	0.3153010932
250	0.3151865909
251	0.3150626315
252	0.3149236054
253	0.314822272
254	0.3147268131
255	0.3146038898
256	0.3145018636
257	0.3143619275
258	0.314250465
259	0.3141498631
260	0.314029723
261	0.3139447042
262	0.3138276405
263	0.3137716735
264	0.3136808989
265	0.3135401459
266	0.3134610247
267	0.3132779503
268	0.3131652766
269	0.3130905505
270	0.3129991415
271	0.3128837023
272	0.3128023462
273	0.3127131105
274	0.3126459219
275	0.3125625252
276	0.3124944581
277	0.3123604016
278	0.3122543294
279	0.3121964421
280	0.3120964691
281	0.3120282197
282	0.3119192559
283	0.3118417745
284	0.3117218695
285	0.3116304043
286	0.3115321008
287	0.3114638811
288	0.3113656081
289	0.3112978576
290	0.3112113085
291	0.3110713696
292	0.3109969933
293	0.3109063378
294	0.3108341884
295	0.3106090906
296	0.3105289518
297	0.3104418202
298	0.3103486495
299	0.3102570811
300	0.3101929722
301	0.3101119182
302	0.3099917765
303	0.3099411599
304	0.3098812859
305	0.309772752
306	0.309700241
307	0.3096530203
308	0.3096051073
309	0.3095172024
310	0.3094537221
311	0.3093879406
312	0.3093245174
313	0.309233312
314	0.3091557191
315	0.3090226963
316	0.3089650748
317	0.308847172
318	0.3087680255
319	0.3087052678
320	0.3086317153
321	0.3085723755
322	0.3085103719
323	0.3084501424
324	0.308397126
325	0.3083544991
326	0.3082706898
327	0.3081951865
328	0.3081021689
329	0.3080381132
330	0.307937955
331	0.3078681982
332	0.3077993572
333	0.3077204603
334	0.3076402051
335	0.3075623488
336	0.3074779694
337	0.3073939655
338	0.3073280409
339	0.3072359869
340	0.3071659493
341	0.3071254227
342	0.3070431525
343	0.306996732
344	0.3069246062
345	0.3068819098
346	0.3068205914
347	0.3067716617
348	0.3067242208
349	0.3066805428
350	0.3066301773
351	0.3064989627
352	0.3063671486
353	0.3063344124
354	0.3063021068
355	0.3062522333
