iter	Passed	Remaining
0	86	86658
1	133	66812
2	172	57366
3	206	51454
4	239	47744
5	275	45583
6	328	46546
7	374	46461
8	417	46004
9	456	45178
10	502	45144
11	540	44538
12	577	43814
13	614	43295
14	653	42905
15	702	43180
16	738	42703
17	775	42318
18	808	41769
19	850	41680
20	910	42434
21	960	42698
22	1012	43006
23	1056	42947
24	1104	43071
25	1161	43518
26	1208	43540
27	1255	43596
28	1317	44109
29	1357	43907
30	1406	43978
31	1456	44067
32	1531	44865
33	1583	44975
34	1629	44926
35	1675	44858
36	1726	44935
37	1767	44756
38	1809	44579
39	1851	44426
40	1905	44558
41	1951	44502
42	1994	44379
43	2039	44306
44	2083	44218
45	2136	44310
46	2193	44479
47	2253	44696
48	2306	44766
49	2353	44723
50	2391	44500
51	2429	44294
52	2467	44095
53	2510	43975
54	2559	43974
55	2599	43821
56	2638	43646
57	2677	43488
58	2715	43310
59	2762	43279
60	2801	43131
61	2838	42938
62	2874	42754
63	2916	42652
64	2963	42634
65	3002	42487
66	3044	42389
67	3086	42301
68	3140	42377
69	3183	42289
70	3232	42301
71	3275	42216
72	3329	42277
73	3377	42259
74	3422	42210
75	3459	42054
76	3508	42061
77	3547	41931
78	3587	41827
79	3629	41735
80	3685	41816
81	3726	41713
82	3765	41605
83	3805	41496
84	3852	41473
85	3904	41493
86	3945	41408
87	3987	41322
88	4029	41243
89	4076	41216
90	4126	41219
91	4167	41127
92	4206	41020
93	4255	41020
94	4294	40915
95	4335	40825
96	4370	40683
97	4405	40547
98	4456	40560
99	4496	40470
100	4537	40392
101	4581	40334
102	4628	40307
103	4689	40400
104	4748	40471
105	4793	40428
106	4836	40364
107	4881	40313
108	4919	40214
109	4959	40126
110	5005	40085
111	5050	40046
112	5098	40021
113	5135	39916
114	5174	39819
115	5213	39729
116	5261	39705
117	5306	39664
118	5361	39692
119	5424	39782
120	5480	39811
121	5524	39755
122	5563	39671
123	5604	39592
124	5655	39591
125	5694	39497
126	5730	39391
127	5766	39287
128	5805	39201
129	5854	39179
130	5894	39099
131	5933	39020
132	5973	38937
133	6004	38803
134	6044	38732
135	6084	38652
136	6122	38566
137	6160	38482
138	6208	38457
139	6245	38365
140	6281	38266
141	6317	38170
142	6352	38068
143	6403	38065
144	6441	37981
145	6477	37889
146	6513	37797
147	6560	37766
148	6604	37718
149	6640	37627
150	6681	37568
151	6719	37486
152	6758	37415
153	6807	37394
154	6845	37317
155	6886	37256
156	6928	37203
157	6977	37183
158	7028	37178
159	7075	37144
160	7122	37116
161	7170	37089
162	7236	37161
163	7279	37107
164	7315	37022
165	7353	36945
166	7399	36906
167	7442	36858
168	7480	36783
169	7519	36710
170	7556	36634
171	7592	36551
172	7640	36523
173	7677	36448
174	7718	36387
175	7759	36326
176	7796	36249
177	7851	36258
178	7896	36219
179	7936	36156
180	7975	36087
181	8008	35993
182	8055	35965
183	8100	35924
184	8150	35905
185	8198	35878
186	8246	35854
187	8304	35869
188	8348	35824
189	8398	35803
190	8448	35786
191	8509	35808
192	8546	35733
193	8581	35653
194	8618	35578
195	8663	35536
196	8704	35481
197	8738	35395
198	8776	35327
199	8820	35280
200	8879	35295
201	8927	35269
202	8991	35300
203	9055	35335
204	9110	35329
205	9157	35298
206	9205	35263
207	9244	35198
208	9289	35157
209	9331	35103
210	9367	35029
211	9403	34951
212	9441	34883
213	9488	34850
214	9524	34775
215	9561	34703
216	9597	34631
217	9634	34560
218	9680	34524
219	9720	34464
220	9759	34399
221	9797	34336
222	9858	34349
223	9906	34317
224	9956	34296
225	10000	34247
226	10039	34185
227	10083	34142
228	10126	34094
229	10165	34031
230	10203	33965
231	10247	33922
232	10290	33875
233	10329	33814
234	10365	33743
235	10402	33675
236	10439	33609
237	10482	33561
238	10521	33501
239	10557	33431
240	10590	33354
241	10627	33286
242	10673	33249
243	10712	33190
244	10764	33173
245	10810	33135
246	10862	33114
247	10908	33078
248	10957	33049
249	10994	32984
250	11033	32924
251	11082	32894
252	11120	32832
253	11158	32772
254	11194	32704
255	11235	32653
256	11273	32592
257	11308	32523
258	11347	32464
259	11386	32408
260	11436	32380
261	11482	32344
262	11527	32303
263	11569	32253
264	11620	32230
265	11659	32172
266	11698	32115
267	11739	32065
268	11790	32039
269	11831	31989
270	11871	31934
271	11905	31864
272	11944	31807
273	11981	31745
274	12029	31714
275	12072	31668
276	12133	31670
277	12174	31619
278	12215	31568
279	12266	31542
280	12309	31497
281	12349	31444
282	12395	31405
283	12450	31388
284	12491	31339
285	12528	31278
286	12594	31288
287	12650	31274
288	12689	31218
289	12736	31183
290	12794	31173
291	12840	31133
292	12879	31076
293	12918	31021
294	12956	30963
295	12995	30909
296	13039	30863
297	13075	30801
298	13113	30744
299	13153	30690
300	13191	30634
301	13240	30601
302	13279	30546
303	13315	30485
304	13353	30428
305	13394	30378
306	13443	30346
307	13492	30313
308	13563	30330
309	13629	30336
310	13685	30318
311	13734	30285
312	13775	30236
313	13824	30201
314	13861	30142
315	13923	30137
316	13970	30100
317	14007	30041
318	14054	30004
319	14094	29950
320	14132	29893
321	14169	29835
322	14210	29784
323	14258	29748
324	14296	29692
325	14333	29633
326	14372	29580
327	14416	29536
328	14462	29496
329	14503	29446
330	14541	29390
331	14579	29334
332	14626	29297
333	14671	29255
334	14712	29204
335	14751	29152
336	14792	29101
337	14838	29063
338	14884	29022
339	14928	28978
340	14970	28932
341	15018	28894
342	15069	28864
343	15119	28831
344	15157	28777
345	15205	28741
346	15250	28698
347	15291	28649
348	15335	28605
349	15376	28557
350	15425	28521
351	15469	28477
352	15513	28434
353	15556	28388
354	15607	28357
355	15660	28329
356	15710	28297
357	15750	28245
358	15795	28203
359	15837	28154
360	15884	28116
361	15925	28068
362	15968	28021
363	16010	27973
364	16046	27916
365	16093	27877
366	16129	27820
367	16164	27761
368	16200	27704
369	16239	27650
370	16279	27599
371	16325	27560
372	16362	27504
