iter	Passed	Remaining
0	201	201512
1	236	117779
2	265	88203
3	297	74156
4	332	66089
5	365	60597
6	411	58338
7	450	55805
8	484	53308
9	521	51596
10	552	49665
11	583	48000
12	620	47100
13	669	47151
14	712	46804
15	750	46158
16	781	45185
17	830	45328
18	872	45023
19	901	44179
20	934	43547
21	964	42882
22	996	42338
23	1030	41894
24	1069	41711
25	1103	41356
26	1135	40913
27	1165	40476
28	1199	40178
29	1231	39809
30	1267	39629
31	1303	39416
32	1339	39253
33	1370	38927
34	1403	38704
35	1442	38619
36	1474	38374
37	1506	38134
38	1540	37950
39	1570	37690
40	1596	37335
41	1639	37392
42	1667	37108
43	1694	36825
44	1729	36712
45	1760	36511
46	1809	36689
47	1840	36494
48	1873	36369
49	1907	36236
50	1944	36180
51	1988	36245
52	2029	36265
53	2065	36191
54	2099	36080
55	2136	36022
56	2176	36007
57	2220	36069
58	2255	35972
59	2289	35861
60	2331	35888
61	2380	36014
62	2433	36190
63	2479	36256
64	2523	36305
65	2572	36410
66	2609	36333
67	2646	36270
68	2681	36181
69	2717	36105
70	2756	36064
71	2795	36030
72	2839	36059
73	2876	35996
74	2910	35890
75	2948	35853
76	2981	35738
77	3029	35811
78	3069	35784
79	3110	35766
80	3152	35764
81	3189	35710
82	3225	35637
83	3261	35563
84	3293	35453
85	3328	35373
86	3358	35243
87	3394	35177
88	3434	35155
89	3467	35058
90	3497	34939
91	3532	34865
92	3567	34789
93	3605	34752
94	3641	34689
95	3673	34591
96	3709	34531
97	3746	34486
98	3777	34377
99	3822	34400
100	3862	34377
101	3895	34295
102	3931	34242
103	3960	34119
104	3987	33987
105	4018	33891
106	4058	33868
107	4090	33780
108	4121	33690
109	4163	33690
110	4206	33690
111	4251	33711
112	4293	33701
113	4325	33616
114	4355	33517
115	4397	33515
116	4441	33516
117	4476	33461
118	4510	33391
119	4555	33404
120	4592	33359
121	4632	33337
122	4672	33312
123	4706	33245
124	4738	33170
125	4777	33140
126	4813	33089
127	4844	33005
128	4883	32971
129	4921	32937
130	4958	32893
131	4994	32842
132	5026	32768
133	5057	32687
134	5086	32589
135	5124	32557
136	5158	32491
137	5196	32459
138	5228	32389
139	5258	32303
140	5292	32245
141	5326	32184
142	5355	32097
143	5392	32057
144	5423	31977
145	5450	31882
146	5483	31820
147	5514	31744
148	5543	31663
149	5578	31611
150	5611	31548
151	5638	31456
152	5666	31370
153	5699	31310
154	5727	31221
155	5760	31165
156	5792	31102
157	5818	31009
158	5849	30940
159	5876	30852
160	5906	30777
161	5943	30746
162	5972	30666
163	6005	30615
164	6033	30532
165	6063	30464
166	6090	30378
167	6118	30299
168	6155	30266
169	6190	30225
170	6222	30168
171	6249	30086
172	6280	30023
173	6312	29966
174	6350	29937
175	6379	29869
176	6412	29817
177	6440	29742
178	6469	29670
179	6502	29622
180	6531	29556
181	6565	29510
182	6592	29430
183	6623	29372
184	6652	29308
185	6683	29247
186	6714	29191
187	6747	29143
188	6781	29100
189	6810	29032
190	6839	28970
191	6865	28891
192	6899	28849
193	6930	28793
194	6963	28748
195	6993	28689
196	7019	28613
197	7052	28566
198	7082	28506
199	7110	28442
200	7143	28397
201	7173	28340
202	7204	28284
203	7234	28229
204	7265	28175
205	7294	28117
206	7337	28109
207	7368	28057
208	7394	27986
209	7426	27935
210	7458	27891
211	7489	27839
212	7523	27797
213	7554	27747
214	7585	27695
215	7615	27641
216	7647	27595
217	7677	27540
218	7709	27492
219	7739	27440
220	7769	27386
221	7802	27342
222	7833	27293
223	7868	27257
224	7904	27225
225	7933	27169
226	7961	27112
227	7994	27070
228	8021	27005
229	8050	26951
230	8082	26906
231	8115	26864
232	8146	26817
233	8176	26764
234	8208	26720
235	8237	26665
236	8269	26621
237	8307	26596
238	8340	26557
239	8367	26498
240	8397	26445
241	8427	26397
242	8470	26387
243	8501	26339
244	8527	26279
245	8559	26233
246	8593	26199
247	8621	26141
248	8660	26119
249	8689	26069
250	8720	26022
