iter	Passed	Remaining
0	232	232517
1	284	141743
2	346	115012
3	475	118286
4	531	105867
5	556	92114
6	579	82189
7	604	75007
8	629	69312
9	656	65003
10	682	61365
11	707	58269
12	734	55793
13	808	56929
14	831	54607
15	906	55719
16	944	54610
17	974	53152
18	1004	51887
19	1030	50481
20	1054	49176
21	1079	47976
22	1108	47103
23	1140	46373
24	1168	45564
25	1196	44822
26	1228	44286
27	1255	43591
28	1283	42961
29	1312	42430
30	1341	41923
31	1369	41415
32	1396	40923
33	1424	40472
34	1453	40068
35	1479	39612
36	1506	39213
37	1536	38888
38	1561	38487
39	1587	38105
40	1614	37773
41	1642	37466
42	1670	37181
43	1699	36924
44	1726	36648
45	1754	36387
46	1780	36104
47	1807	35843
48	1832	35572
49	1861	35377
50	1890	35172
51	1917	34949
52	1945	34758
53	1973	34573
54	2002	34403
55	2030	34225
56	2059	34073
57	2086	33894
58	2112	33699
59	2140	33539
60	2172	33447
61	2201	33306
62	2229	33152
63	2279	33343
64	2369	34084
65	2396	33907
66	2492	34706
67	2516	34489
68	2542	34298
69	2569	34141
70	2598	34001
71	2623	33819
72	2651	33665
73	2675	33484
74	2704	33351
75	2730	33200
76	2757	33051
77	2789	32968
78	2823	32915
79	2852	32805
80	2880	32677
81	2916	32646
82	2943	32515
83	2971	32406
84	2999	32289
85	3027	32174
86	3054	32058
87	3082	31949
88	3109	31829
89	3138	31737
90	3166	31627
91	3193	31519
92	3221	31418
93	3248	31310
94	3277	31224
95	3305	31122
96	3333	31036
97	3360	30925
98	3388	30840
99	3417	30753
100	3446	30675
101	3475	30597
102	3500	30485
103	3528	30399
104	3556	30314
105	3585	30238
106	3612	30150
107	3639	30057
108	3670	30000
109	3697	29916
110	3724	29829
111	3751	29742
112	3781	29685
113	3809	29608
114	3837	29533
115	3865	29454
116	3895	29399
117	3922	29316
118	3950	29250
119	3983	29211
120	4012	29147
121	4040	29075
122	4066	28995
123	4094	28926
124	4123	28865
125	4150	28791
126	4179	28729
127	4208	28669
128	4239	28627
129	4266	28554
130	4295	28493
131	4323	28432
132	4351	28363
133	4387	28352
134	4415	28293
135	4446	28249
136	4477	28205
137	4504	28138
138	4533	28082
139	4564	28042
140	4592	27980
141	4622	27931
142	4650	27867
143	4681	27830
144	4709	27767
145	4735	27700
146	4762	27636
147	4789	27574
148	4817	27512
149	4843	27444
150	4870	27384
151	4900	27339
152	4930	27293
153	4959	27242
154	4986	27181
155	5020	27160
156	5050	27120
157	5079	27069
158	5109	27024
159	5138	26979
160	5168	26934
161	5197	26883
162	5232	26867
163	5263	26829
164	5290	26771
165	5317	26714
166	5344	26658
167	5372	26607
168	5401	26560
169	5432	26521
170	5462	26483
171	5492	26439
172	5517	26377
173	5543	26314
174	5576	26287
175	5605	26243
176	5649	26270
177	5679	26229
178	5707	26175
179	5735	26129
180	5766	26091
181	5801	26074
182	5829	26023
183	5857	25978
184	5886	25930
185	5913	25879
186	5941	25830
187	5969	25783
188	5995	25728
189	6022	25676
190	6053	25639
191	6084	25603
192	6114	25565
193	6144	25529
194	6171	25477
195	6206	25458
196	6237	25425
197	6266	25382
198	6299	25354
199	6325	25301
200	6354	25260
201	6382	25212
202	6414	25183
203	6444	25145
204	6472	25101
205	6503	25067
206	6535	25037
207	6562	24989
208	6589	24939
209	6619	24901
210	6647	24855
211	6677	24818
212	6704	24771
213	6732	24726
214	6759	24680
215	6786	24631
216	6813	24585
217	6846	24559
218	6874	24514
219	6901	24470
220	6931	24432
221	6960	24394
222	6989	24354
223	7017	24310
224	7046	24272
225	7074	24228
226	7100	24180
227	7129	24139
228	7162	24116
229	7189	24069
230	7224	24048
231	7251	24003
232	7280	23967
233	7311	23933
234	7340	23894
235	7368	23853
236	7397	23814
237	7424	23770
238	7450	23723
239	7478	23682
240	7515	23670
241	7546	23635
242	7573	23593
243	7603	23556
244	7629	23512
245	7656	23466
246	7688	23438
247	7717	23401
248	7747	23365
249	7775	23325
250	7802	23282
251	7830	23243
252	7860	23209
253	7888	23168
254	7915	23126
255	7944	23088
256	8012	23163
257	8038	23117
258	8066	23078
259	8093	23034
260	8122	22996
261	8154	22969
262	8185	22937
263	8214	22901
264	8249	22879
265	8279	22845
266	8305	22802
267	8334	22765
268	8364	22731
269	8392	22691
270	8419	22649
271	8450	22616
272	8477	22576
273	8506	22538
274	8534	22499
275	8561	22459
276	8598	22442
277	8634	22425
278	8663	22387
279	8692	22352
280	8725	22325
281	8757	22298
282	8783	22254
283	8813	22220
284	8843	22185
285	8928	22290
286	8954	22244
287	8980	22202
288	9008	22162
289	9032	22113
290	9062	22080
291	9102	22071
292	9131	22034
293	9161	22000
294	9186	21954
295	9213	21914
296	9242	21877
297	9272	21843
298	9309	21825
299	9335	21781
300	9360	21737
301	9387	21696
302	9416	21661
303	9443	21620
304	9471	21581
305	9500	21546
306	9528	21508
307	9557	21473
308	9587	21438
309	9616	21405
310	9650	21380
311	9681	21349
